domain,final_verdict,confidence,note
marketing-updatee.store,TOXIC,High,"spam TLD .store, marketing farm"
marketingupdatee.com,TOXIC,Med,"marketing content farm"
masihnyata.com,TOXIC,Med,"Indonesian site, off-topic foreign"
mymarketpost.com,TOXIC,Med,"PR/market post content farm"
naturalegno.net,TOXIC,Low,"Italian wood site, off-topic foreign"
newsblogsports.site,TOXIC,High,"spam TLD .site, news/sports farm"
nivira.shop,TOXIC,High,"spam TLD .shop, generic name"
obake.pages.dev,TOXIC,High,"free pages.dev host, nonsense name"
onlinelocalbrand.com,TOXIC,Med,"marketing/branding farm name"
onlineshoppingidea.com,TOXIC,Med,"shopping content farm, off-topic"
phanerosart.com,TOXIC,Low,"art site, off-topic, single-day"
pingeras.blogspot.com,TOXIC,Med,"blogspot, generic, 14 links"
plrdownloadshub.com,TOXIC,High,"PLR downloads, spam vertical"
plumeriamarketing.com,TOXIC,Low,"marketing agency, off-topic"
plurio.shop,TOXIC,High,"spam TLD .shop, generic name"
poshcoloringstudiostorer.blogspot.com,TOXIC,Med,"blogspot, off-topic coloring, odd name"
quotesblom.com,TOXIC,Med,"quotes content farm, single-day"
realtalkaj.me,TOXIC,Low,"generic personal .me blog"
reviewmx.com,TOXIC,Med,"review farm name"
royaldb.us.com,TOXIC,Med,"generic .us.com, single-day"
rumoursnews.com,TOXIC,Med,"gossip news content farm"
shoplogist.com,TOXIC,Low,"generic shop/logistics name"
snowlawn.net,KEEP,Low,"Lawn/snow services, US, plausible legit"
southboundlandscape.com,KEEP,Med,"Real landscape company, plausible legit"
sporstcenter.com,TOXIC,High,"typo domain, India, shared farm IP"
sportsbikeparts.pk,TOXIC,Med,"Pakistan bike parts, off-topic foreign"
studartcorrea.com.br,TOXIC,Med,"Brazil art studio, off-topic foreign"
takes.homes,TOXIC,High,"spam TLD .homes, generic name"
takes.sbs,TOXIC,High,"spam TLD .sbs, generic name"
tapalmbeaches.com,TOXIC,Low,"off-topic location site, generic"
techsb.ca,TOXIC,Low,"generic tech name, off-topic"
thecloudherald.com,TOXIC,Med,"generic news content farm"
thehomefixhub.com,TOXIC,Low,"'home fix hub' template farm"
themicrodigits.com,TOXIC,Low,"generic tech, single-day"
thetarotalk.com,TOXIC,Med,"tarot site, off-topic vertical"
turkiyelinux.com,TOXIC,Med,"Turkey linux site, off-topic foreign"
ultimatelistzone.com,TOXIC,High,"listing/list-zone farm name"
willettonuniforms.com.au,TOXIC,Low,"Australia uniforms shop, off-topic foreign"
xedulichdaklak.com,TOXIC,Med,"Vietnam travel, off-topic foreign"
yardclue.com,KEEP,Low,"Yard/lawn niche, US, plausible legit"
yardislife.com,KEEP,Low,"Yard/lawn niche site, plausible legit"
yeow.ai,TOXIC,Low,"generic .ai site, off-topic"
1stcallglasscare.com,KEEP,Low,"Glass-care home services, plausible legit"
associazioneagricoltorivalleverzasca.ch,TOXIC,Low,"Swiss farming association, off-topic foreign"
capetownthing.co.za,TOXIC,Med,"South Africa site, off-topic foreign"
