domain,decision,tier,reason,follow,anchor_text,example_backlink,authority,traffic,is_spam,ip,review_note
aemobilewallpapersh.gq,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,Get free high quality HD wallpapers printable psychrometric chart free,http://aemobilewallpapersh.gq/files/images/printable-psychrometric-chart-free.html,0.0,0,,,confirmed
agkjaxjp.xyz,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),,,,0.0,0,TRUE,104.21.53.224,confirmed
all-aged-domains.com,DISAVOW,P1 Core,Expired-domain spam network,dofollow,performingwindows.com,https://all-aged-domains.com/page-18c6f7b2b74807a8ca4d96aec043dde8.html,5,0,,172.67.215.228,confirmed
allbaclinks.com,DISAVOW,P1 Core,Paid-link / backlink-seller site,nofollow,ngwindows.com,https://allbaclinks.com/ashgeoseo/,2,0,,203.161.54.114,confirmed
alljobs.info,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,northpointwindows.com,https://alljobs.info/0735674f420eb4305092bacc860401a2-l/,2,0,,118.139.176.46,confirmed
alltopleveldomains.space,DISAVOW,P1 Core,Expired-domain spam network,dofollow,roiwindows.com,http://alltopleveldomains.space/page-d485bee01a16aec182a234e4d87c5708.html,2,0,,118.139.181.85,confirmed
allwebsitesdirectory.com,DISAVOW,P1 Core,Spam directory listing,dofollow,performingwindows.com,https://allwebsitesdirectory.com/page-18c6f7b2b74807a8ca4d96aec043dde8.html,2,0,,184.168.115.60,confirmed
aloysionunes.com,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,High Quality Dofollow Backlinks DA 50 PA 40 Premium PBN Network Service ngwindows.com Rank First Page Google Fast SEO Link Building Buy Backlinks Online Cheap,https://aloysionunes.com/all/2066/26.html,5,0,,172.67.138.242,confirmed
alysonspes.blogspot.com,DISAVOW,P1 Core,Spam blog post (Blogspot PBN),nofollow,https://thermalprowindows.com/,https://alysonspes.blogspot.com/,2,0,,172.253.139.132,confirmed
analyticshaven.top,DISAVOW,P1 Core,Redirect / URL-shortener link network,nofollow,thermalprowindows.com,https://analyticshaven.top/stats/113573,6,0,,195.20.19.178,confirmed
anamorphic-aes.blogspot.com,DISAVOW,P1 Core,Spam blog post (Blogspot PBN),nofollow,ngwindows.com,https://anamorphic-aes.blogspot.com/,2,0,,172.253.63.132,confirmed
anchorurl.cloud,DISAVOW,P1 Core,Redirect / URL-shortener link network,nofollow,qualitypluswindows.com,https://anchorurl.cloud/share/124369,6,0,,195.20.19.178,confirmed
anizcom.press,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,Galerry printable psychrometric chart uk,http://anizcom.press/upload/printable-psychrometric-chart-uk.html,0.0,0,,,confirmed
aocrsljd.xyz,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,"8U2Uc↑↑↑Black Hat SEO backlinks, focusing on Black Hat SEO, Google SEO fast ranking ↑↑↑ Telegram: @seo7878",https://aocrsljd.xyz/ewrryywpbusxx,0.0,0,TRUE,188.114.97.0,confirmed
arceofswedenes.blogspot.com,DISAVOW,P1 Core,Spam blog post (Blogspot PBN),nofollow,ngwindows.com,https://arceofswedenes.blogspot.com/,2,0,,142.251.111.132,confirmed
archive-hu.com,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,High Quality Dofollow Backlinks DA 50 PA 40 Premium PBN Network Service northgeorgiawindows.net Rank First Page Google Fast SEO Link Building Buy Backlinks Onli,https://archive-hu.com/all/2092/28.html,4,0,,104.21.38.108,confirmed
atomizelink.icu,DISAVOW,P1 Core,Redirect / URL-shortener link network,nofollow,thermalprowindows.com,https://atomizelink.icu/report/113573,5,0,,195.20.19.178,confirmed
atozbacklinks.com,DISAVOW,P1 Core,Paid-link / backlink-seller site,nofollow,ngwindows.com,https://atozbacklinks.com/ashgeoseo/,2,0,,203.161.54.114,confirmed
australianwebdirectory.shop,DISAVOW,P1 Core,Spam directory listing,dofollow,performingwindows.com,https://australianwebdirectory.shop/page-18c6f7b2b74807a8ca4d96aec043dde8.html,3,0,,184.168.111.168,confirmed
azabuhfq.xyz,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),,,,0.0,0,TRUE,104.21.0.188,confirmed
backlink-agency.online,DISAVOW,P1 Core,Paid-link / backlink-seller site,dofollow,northgeorgiawindows.net,https://backlink-agency.online/discover-rankvance-wikipedia-backlinks-to-boost-authority-465/,2,0,,172.67.220.104,confirmed
backlink-agency.pro,DISAVOW,P1 Core,Paid-link / backlink-seller site,dofollow,thermatrustwindows.com,https://backlink-agency.pro/grab-rankvance-backlink-deals-before-its-late-470/,2,0,,172.67.147.91,confirmed
backlinkboosters.online,DISAVOW,P1 Core,Paid-link / backlink-seller site,dofollow,ngwindows.com,https://backlinkboosters.online/power-up-your-seo-strategy-with-rankvance-517/,0.0,0,TRUE,172.67.190.21,confirmed
backlinkbuilders.pro,DISAVOW,P1 Core,Paid-link / backlink-seller site,dofollow,northgeorgiawindows.net,https://backlinkbuilders.pro/powerful-backlinks-to-beat-competitors-465/,2,0,,104.21.91.60,confirmed
backlinkhouse.com,DISAVOW,P1 Core,Paid-link / backlink-seller site,dofollow,performingwindows.com,http://www.backlinkhouse.com/page-18c6f7b2b74807a8ca4d96aec043dde8.html,2,0,,118.139.161.199,confirmed
backlinkon.com,DISAVOW,P1 Core,Paid-link / backlink-seller site,dofollow,performingwindows.com,http://www.backlinkon.com/page-18c6f7b2b74807a8ca4d96aec043dde8.html,2,0,,118.139.161.199,confirmed
backlinkoptimizer.pro,DISAVOW,P1 Core,Paid-link / backlink-seller site,dofollow,roiwindows.com,https://backlinkoptimizer.pro/get-started-with-affordable-link-building-services-469/,2,0,,172.67.157.196,confirmed
backlinkpartners.shop,DISAVOW,P1 Core,Paid-link / backlink-seller site,nofollow,"ngwindows.com: guest posts, backlinks, on-page and local SEO, web development, SaaS tools and workflow automation tools, all driving real DR/DA/TF improvement with relevance-first ",https://backlinkpartners.shop/e599fa597-automation-tools-vs-blogroll-links-ecommerce-cost-speed-quality-ranking-outcomes-real-world-action-plan-cost-timeline-and-results-for-scalable-seo-performance/,0.0,0,TRUE,104.21.41.65,confirmed
backlinkrise.pro,DISAVOW,P1 Core,Paid-link / backlink-seller site,dofollow,northpointwindows.com,https://backlinkrise.pro/get-powerful-backlinks-to-outrank-competitors-17/,2,0,,104.21.36.17,confirmed
backlinks-checker.com,DISAVOW,P1 Core,Paid-link / backlink-seller site,nofollow,thermalprowindows.com,https://backlinks-checker.com/share/113574,6,0,,195.20.19.178,confirmed
backlinksbank.com,DISAVOW,P1 Core,Paid-link / backlink-seller site,dofollow,performingwindows.com,http://www.backlinksbank.com/page-18c6f7b2b74807a8ca4d96aec043dde8.html,3,0,,118.139.161.199,confirmed
backlinkshouse.com,DISAVOW,P1 Core,Paid-link / backlink-seller site,dofollow,performingwindows.com,http://www.backlinkshouse.com/page-18c6f7b2b74807a8ca4d96aec043dde8.html,2,0,,118.139.161.199,confirmed
backlinksolutions.info,DISAVOW,P1 Core,Paid-link / backlink-seller site,dofollow,thermatrustwindows.com,https://backlinksolutions.info/best-link-building-agency-rankvance-235/,2,0,,172.67.214.7,confirmed
backlinksplace.site,DISAVOW,P1 Core,Paid-link / backlink-seller site,nofollow,"performingwindows.com: guest posts and backlinks, on-page SEO, local SEO, web development, SaaS integrations and automation tools, all driving rising DR/DA/TF s",https://backlinksplace.site/1go2ngz-traffic-recovery-blueprint-crypto-rank-using-contextual-backlinks-blogroll-links/,0.0,0,,13.140.137.15,confirmed
backlinkstree.com,DISAVOW,P1 Core,Paid-link / backlink-seller site,dofollow,performingwindows.com,http://www.backlinkstree.com/page-18c6f7b2b74807a8ca4d96aec043dde8.html,2,0,,118.139.161.199,confirmed
bestnz-poker-casinoslot.com,DISAVOW,P1 Core,Gambling / casino spam,dofollow,High Quality Dofollow Backlinks DA 50 PA 40 Premium PBN Network Service ngwindows.com Rank First Page Google Fast SEO Link Building Buy Backlinks Online Cheap,https://bestnz-poker-casinoslot.com/all/2066/26.html,2,0,,172.67.189.170,confirmed
bestrankbacklinks.com,DISAVOW,P1 Core,Paid-link / backlink-seller site,nofollow,ngwindows.com,https://bestrankbacklinks.com/ashgeoseo/,2,0,,203.161.54.114,confirmed
bestseobacklinkforsite.com,DISAVOW,P1 Core,Paid-link / backlink-seller site,nofollow,ngwindows.com,https://bestseobacklinkforsite.com/ashgeoseo/,2,0,,203.161.54.114,confirmed
bestsitesbacklinks.com,DISAVOW,P1 Core,Paid-link / backlink-seller site,nofollow,ngwindows.com,https://bestsitesbacklinks.com/ashgeoseo/,2,0,,203.161.54.114,confirmed
bestwebstats.com,DISAVOW,P1 Core,Auto-generated stats / scraper page,dofollow,performingwindows.com,https://bestwebstats.com/page-18c6f7b2b74807a8ca4d96aec043dde8.html,2,0,,184.168.115.60,confirmed
betulcrime.com,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,High Quality Dofollow Backlinks DA 50 PA 40 Premium PBN Network Service ngawindows.com Rank First Page Google Fast SEO Link Building Buy Backlinks Online Cheap,https://betulcrime.com/all/2065/33.html,4,0,,104.21.11.207,confirmed
betwinnermirror.com,DISAVOW,P1 Core,Gambling / casino spam,dofollow,High Quality Dofollow Backlinks DA 50 PA 40 Premium PBN Network Service ngwindows.com Rank First Page Google Fast SEO Link Building Buy Backlinks Online Cheap,https://betwinnermirror.com/all/2066/26.html,2,0,,172.67.172.111,confirmed
bifoldingdoorsraganamo.blogspot.com,DISAVOW,P1 Core,Spam blog post (Blogspot PBN),dofollow,... Access Doc,http://bifoldingdoorsraganamo.blogspot.com/2015/02/frameless-bi-folding-doors.html,2,0,,192.178.155.132,confirmed
bitbuzz.org,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),nofollow,JOIN OUR TELEGRAM https://t.me/s/darksidelinks,http://bitbuzz.org/dark-side-links-dark-white-hat-link-building-1250/,6,0,,184.168.108.151,confirmed
blinks.monster,DISAVOW,P1 Core,Paid-link / backlink-seller site,nofollow,northgeorgiawindows.net,http://blinks.monster/domain/domain/part/170306,2,0,,172.67.161.83,confirmed
blinks.sbs,DISAVOW,P1 Core,Paid-link / backlink-seller site,nofollow,qualitypluswindows.com,http://blinks.sbs/domain/domain/part/192831,4,0,,104.21.3.70,confirmed
blogerreviewers.com,DISAVOW,P1 Core,Paid-link / backlink-seller site,dofollow,High Quality Dofollow Backlinks DA 50 PA 40 Premium PBN Network Service ngawindows.com Rank First Page Google Fast SEO Link Building Buy Backlinks Online Cheap,https://blogerreviewers.com/all/2065/33.html,2,0,,104.21.91.112,confirmed
blogsphere.top,DISAVOW,P1 Core,Redirect / URL-shortener link network,nofollow,thermalprowindows.com,https://blogsphere.top/stats/113573,6,0,,195.20.19.178,confirmed
bmobilebandroidlove.ga,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,Get free high quality HD wallpapers psychrometric chart digital,http://bmobilebandroidlove.ga/files/images/psychrometric-chart-digital.html,0.0,0,,,confirmed
booastrankingwithbacklinks.com,DISAVOW,P1 Core,Paid-link / backlink-seller site,nofollow,ngwindows.com,https://booastrankingwithbacklinks.com/ashgeoseo/,2,0,,203.161.54.114,confirmed
booksreadr.org,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,performingwindows.com,https://booksreadr.org/page-18c6f7b2b74807a8ca4d96aec043dde8.html,4,0,,92.249.46.138,confirmed
breachviews.com,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,High Quality Dofollow Backlinks DA 50 PA 40 Premium PBN Network Service ngwindows.com Rank First Page Google Fast SEO Link Building Buy Backlinks Online Cheap,https://breachviews.com/all/2066/26.html,2,0,,172.67.216.74,confirmed
brilko.shop,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),,,,0.0,0,TRUE,104.21.63.118,confirmed
burnersgamershitasd.blogspot.com,DISAVOW,P1 Core,Spam blog post (Blogspot PBN),nofollow,https://roiwindows.com/,https://burnersgamershitasd.blogspot.com/&output=application%2Fld+json,2,0,,142.251.163.132,confirmed
buyfairbacklinks.com,DISAVOW,P1 Core,Paid-link / backlink-seller site,nofollow,ngwindows.com,https://buyfairbacklinks.com/ashgeoseo/,2,0,,203.161.54.114,confirmed
buyrankbacklinks.com,DISAVOW,P1 Core,Paid-link / backlink-seller site,nofollow,ngwindows.com,https://buyrankbacklinks.com/ashgeoseo/,5,0,,203.161.54.114,confirmed
buyseolinks.site,DISAVOW,P1 Core,Paid-link / backlink-seller site,nofollow,ngwindows.com,https://buyseolinks.site/artie-lange-laughter-pain-and-the-battle-behind-the-microphone/,2,0,,199.188.206.19,confirmed
buytopqualitybacklinks.com,DISAVOW,P1 Core,Paid-link / backlink-seller site,nofollow,ngwindows.com,https://buytopqualitybacklinks.com/ashgeoseo/,2,0,,203.161.54.114,confirmed
buzzshrink.website,DISAVOW,P1 Core,Redirect / URL-shortener link network,nofollow,thermalprowindows.com,https://buzzshrink.website/share/113573,6,0,,195.20.19.178,confirmed
bwallpapershbb.ml,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,Get free high quality HD wallpapers printable psychrometric chart metric,http://bwallpapershbb.ml/files/images/printable-psychrometric-chart-metric.html,0.0,0,,,confirmed
bye.fyi,DISAVOW,P1 Core,Redirect / URL-shortener link network,nofollow,qualitypluswindows.com,https://bye.fyi/report/124368,24,0,,195.20.19.178,confirmed
byteshort.xyz,DISAVOW,P1 Core,Redirect / URL-shortener link network,nofollow,thermalprowindows.com,https://byteshort.xyz/report/113573,6,0,,195.20.19.178,confirmed
carplz.com,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,ngawindows.com,http://www.carplz.com/page-aeacf1cd1c96548a462d30f4186aaaff.html,2,0,,118.139.181.85,confirmed
carwindowreplacementfukiyabo.blogspot.com,DISAVOW,P1 Core,Spam blog post (Blogspot PBN),dofollow,Pictures of Car Window Replacement In Atlanta,https://carwindowreplacementfukiyabo.blogspot.com/2015/09/car-window-replacement-in-atlanta.html,2,0,,172.253.63.132,confirmed
carwindowreplacementnosatsuji.blogspot.com,DISAVOW,P1 Core,Spam blog post (Blogspot PBN),dofollow,Car Window Replacement Atlanta Pictures,http://carwindowreplacementnosatsuji.blogspot.com/2016/01/car-window-replacement-atlanta.html,2,0,,142.251.111.132,confirmed
carwindowreplacementznali.blogspot.com,DISAVOW,P1 Core,Spam blog post (Blogspot PBN),dofollow,Photos of Atlanta Car Window Replacement,http://carwindowreplacementznali.blogspot.com/2015/05/atlanta-car-window-replacement.html,2,0,,172.253.115.132,confirmed
casinooftheking.com,DISAVOW,P1 Core,Gambling / casino spam,dofollow,High Quality Dofollow Backlinks DA 50 PA 40 Premium PBN Network Service ngwindows.com Rank First Page Google Fast SEO Link Building Buy Backlinks Online Cheap,https://casinooftheking.com/all/2066/26.html,2,0,,172.67.222.57,confirmed
ceemobiled.gq,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,Get free high quality HD wallpapers double entry doors fiberglass,http://ceemobiled.gq/files/images/double-entry-doors-fiberglass.html,0.0,0,,,confirmed
centralc.pages.dev,DISAVOW,P1 Core,Throwaway free-host page,nofollow,ngawindows.com,https://centralc.pages.dev/04/wtSlOtSjYT,2,0,,172.66.44.212,confirmed
cheapsmmprovider.info,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,ngwindows.com,http://www.cheapsmmprovider.info/page-34962c4ce6e04e66bc6683ce26dd6c07.html,2,0,,118.139.181.85,confirmed
cheapsmmprovider.online,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,performingwindows.com,http://www.cheapsmmprovider.online/page-18c6f7b2b74807a8ca4d96aec043dde8.html,2,0,,118.139.181.85,confirmed
chlamydia-genome.blogspot.com,DISAVOW,P1 Core,Spam blog post (Blogspot PBN),dofollow,http://ngwindows.com/blog/is-it-time-to-replace-your-homes-entry-doors/,https://chlamydia-genome.blogspot.com/2012/11/is-it-time-to-replace-your-home-entry.html,2,0,,64.233.180.132,confirmed
clicktobuybacklinks.com,DISAVOW,P1 Core,Paid-link / backlink-seller site,nofollow,ngwindows.com,https://clicktobuybacklinks.com/ashgeoseo/,2,0,,203.161.54.114,confirmed
clifflisting.com,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,High Quality Dofollow Backlinks DA 50 PA 40 Premium PBN Network Service ngawindows.com Rank First Page Google Fast SEO Link Building Buy Backlinks Online Cheap,https://clifflisting.com/all/2065/33.html,2,0,,172.67.207.213,confirmed
clvecom.press,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,Galerry printable psychrometric chart,http://clvecom.press/upload/printable-psychrometric-chart.html,0.0,0,,,confirmed
cmocheatsheets.com,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,High Quality Dofollow Backlinks DA 50 PA 40 Premium PBN Network Service roiwindows.com Rank First Page Google Fast SEO Link Building Buy Backlinks Online Cheap,https://cmocheatsheets.com/all/2479/11.html,2,0,,104.21.91.99,confirmed
cnftcymf.xyz,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,"M7DC5↑↑↑Black Hat SEO backlinks, focusing on Black Hat SEO, Google SEO fast ranking ↑↑↑ Telegram: @seo7878",https://cnftcymf.xyz/agyxybksaejxs,0.0,0,TRUE,188.114.96.2,confirmed
complaintinfo.com,DISAVOW,P1 Core,Auto-generated stats / scraper page,nofollow,Window and Door Replacement in Atlanta North Georgia ...,https://complaintinfo.com/h-complaints/hometech-windows-complaints.html,6,0,,104.21.35.245,confirmed
corrector.in,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,thermalastwindows.com,http://corrector.in/page-f97a090296c80268207756519a650c20.html,2,0,,118.139.181.85,confirmed
coruzants.com,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,High Quality Dofollow Backlinks DA 50 PA 40 Premium PBN Network Service northpointwindows.com Rank First Page Google Fast SEO Link Building Buy Backlinks Online,https://coruzants.com/all/2093/8.html,2,0,,172.67.192.96,confirmed
creativeposts.top,DISAVOW,P1 Core,Redirect / URL-shortener link network,nofollow,thermalprowindows.com,https://creativeposts.top/stats/113574,6,0,,195.20.19.178,confirmed
crjvnslb.xyz,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,"4msgk↑↑↑Black Hat SEO backlinks, focusing on Black Hat SEO, Google SEO fast ranking ↑↑↑ Telegram: @seo7878",https://crjvnslb.xyz/dibmqpxfjutac,0.0,0,TRUE,172.67.156.174,confirmed
crystalcoastrentals.net,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,printable psychrometric chart gallery,http://crystalcoastrentals.net/img/printable-psychrometric-chart.html,0.0,0,,,confirmed
cusholvz.xyz,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),,,,0.0,0,TRUE,104.21.32.1,confirmed
customdoorspeisara.blogspot.com,DISAVOW,P1 Core,Spam blog post (Blogspot PBN),dofollow,Photos of Custom Doors Georgia,https://customdoorspeisara.blogspot.com/2015/09/custom-doors-georgia.html,2,0,,142.251.111.132,confirmed
customerservicetrust.com,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,ngwindows.com,https://customerservicetrust.com/ngwindows/,2,0,TRUE,172.67.179.24,confirmed
cvillico.com,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,High Quality Dofollow Backlinks DA 50 PA 40 Premium PBN Network Service qualitypluswindows.com Rank First Page Google Fast SEO Link Building Buy Backlinks Onlin,https://cvillico.com/all/2373/20.html,2,0,,104.21.14.64,confirmed
cvwpfwsi.xyz,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,"nwOvl↑↑↑Black Hat SEO backlinks, focusing on Black Hat SEO, Google SEO fast ranking ↑↑↑ Telegram: @seo7878",https://cvwpfwsi.xyz/fncnnrnhmjcjn,0.0,0,TRUE,188.114.96.0,confirmed
cwnvzssm.xyz,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,"8Yyx4↑↑↑Black Hat SEO backlinks, focusing on Black Hat SEO, Google SEO fast ranking ↑↑↑ Telegram: @seo7878",https://cwnvzssm.xyz/bhslzqsykhqyz,0.0,0,TRUE,104.21.96.1,confirmed
cxcvnjpq.xyz,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,"jeCf2↑↑↑Black Hat SEO backlinks, focusing on Black Hat SEO, Google SEO fast ranking ↑↑↑ Telegram: @seo7878",https://cxcvnjpq.xyz/naamnwusfcdjx,0.0,0,TRUE,104.21.41.149,confirmed
daechul.co.com,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,High Quality Dofollow Backlinks DA 50 PA 40 Premium PBN Network Service northgeorgiawindows.net Rank First Page Google Fast SEO Link Building Buy Backlinks Onli,https://daechul.co.com/all/2092/28.html,2,0,,172.67.128.17,confirmed
dailymusings.top,DISAVOW,P1 Core,Redirect / URL-shortener link network,nofollow,thermalprowindows.com,https://dailymusings.top/stats/113574,6,0,,195.20.19.178,confirmed
daolink.mom,DISAVOW,P1 Core,Paid-link / backlink-seller site,nofollow,ngwindows.com,https://daolink.mom/?p=327752,3,0,,67.223.118.29,confirmed
ddpjurqs.xyz,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,"eR2BZ↑↑↑Black Hat SEO backlinks, focusing on Black Hat SEO, Google SEO fast ranking ↑↑↑ Telegram: @seo7878",https://ddpjurqs.xyz/fbennqqxoljjh,0.0,0,TRUE,188.114.97.0,confirmed
designgfandroiddesktop.ga,DISAVOW,P1 Core,Low-quality / dead domain,dofollow,Get free high quality HD wallpapers replacement entry doors,http://designgfandroiddesktop.ga/files/images/replacement-entry-doors.html,0.0,0,,,confirmed
directorylinkservice.com,DISAVOW,P1 Core,Spam directory listing,nofollow,ngwindows.com,https://www.directorylinkservice.com/domains/192447/26982718d0f636ffdcf3cb80441ff73a/,3,0,,184.168.113.185,confirmed
dmjltsfe.xyz,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,"7OAMf↑↑↑Black Hat SEO backlinks, focusing on Black Hat SEO, Google SEO fast ranking ↑↑↑ Telegram: @seo7878",https://dmjltsfe.xyz/oejc39c099950/,0.0,0,TRUE,188.114.96.2,confirmed
domain.com.lc,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,performingwindows.com,https://domain.com.lc/page-18c6f7b2b74807a8ca4d96aec043dde8.html,2,0,,184.168.115.60,confirmed
domainanalysis.org,DISAVOW,P1 Core,Auto-generated stats / scraper page,dofollow,performingwindows.com,https://domainanalysis.org/page-18c6f7b2b74807a8ca4d96aec043dde8.html,2,0,,184.168.115.60,confirmed
domaineye.com,DISAVOW,P1 Core,Auto-generated stats / scraper page,dofollow,ngwindows.com,https://pr-new.domaineye.com/5cc8b1fa3f09cedefebd9c1c8c8e8c4256470fa2/fb51a38e954bf4e4fba7131bd20e11361ca1391e,16,0,,83.138.53.13,confirmed
domainrankboost.shop,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),,,,0.0,0,TRUE,172.67.153.220,confirmed
domainrankexperts.shop,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),nofollow,"Take ngwindows.com to page one with guest posts, backlinks, on-page and local SEO, web development, SaaS tools and workflow automation tools — higher DR/DA/TF across the board with",https://domainrankexperts.shop/34cfe31ff-automation-tools-doubled-organic-revenue-90-days-fintech-money-site-every-dollar-ranking-tracked-full-ranking-workflow-authority-traffic-and-conversions-for-competitive-serp-results/,0.0,0,TRUE,104.21.48.203,confirmed
domains.com.bz,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),dofollow,ngawindows.com,https://www.domains.com.bz/page/168127/,4,0,,184.168.115.60,confirmed
domainsc.com,DISAVOW,P1 Core,Auto-generated stats / scraper page,dofollow,performingwindows.com,https://domainsc.com/page-18c6f7b2b74807a8ca4d96aec043dde8.html,2,0,,184.168.115.60,confirmed
domainwork.space,DISAVOW,P1 Core,Spam directory listing,dofollow,qualitypluswindows.com,http://domainwork.space/page-1d46ee62e36190f42f3d3c0481fab48e.html,2,0,,118.139.181.85,confirmed
dommonjilike.blogspot.com,DISAVOW,P1 Core,Spam blog post (Blogspot PBN),nofollow,https://northpointwindows.com/,https://dommonjilike.blogspot.com/,2,0,,172.253.122.132,confirmed
domraider.eu.com,DISAVOW,P1 Core,Expired-domain spam network,dofollow,northpointwindows.com,https://domraider.eu.com/c2a7fbvp-listi/,0.0,0,,104.21.16.138,confirmed
domraider.gb.net,DISAVOW,P1 Core,Expired-domain spam network,dofollow,ngawindows.com,https://domraider.gb.net/khve3s1q-li/,0.0,0,,104.21.94.138,confirmed
domraider.it.com,DISAVOW,P1 Core,Expired-domain spam network,dofollow,qualitypluswindows.com,https://domraider.it.com/a2tvnce9-lis/,0.0,0,,104.21.1.165,confirmed
doorsinteriorkakerumo.blogspot.com,DISAVOW,P1 Core,Spam blog post (Blogspot PBN),dofollow,"Greener, Smarter And Better Doors Through Innovation",https://doorsinteriorkakerumo.blogspot.com/2017/02/iron-doors-interior.html,2,0,,142.251.167.132,confirmed
doorswindowscompany.com,DISAVOW,P1 Core,Multiple spam signals (dead + farm-IP / spam-flag),nofollow,ngwindows.com,https://www.doorswindowscompany.com/5516/north-georgia-replacement-windows,2,0,,191.101.14.187,confirmed
