domain,decision,priority,confidence,category,why,anchor_type,example_anchor,backlink_url,follow,bl_count,dofollow_n,nofollow_n,link_checked,dr,ascore,authority,traffic,positions,is_spam,links,ip,country,tier_reason,evidence,qa_note
carwindowreplacementnosatsuji.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,Car Window Replacement Atlanta Pictures,http://carwindowreplacementnosatsuji.blogspot.com/2016/01/car-window-replacement-atlanta.html,dofollow,1,1,0,yes,0.0,2,2,0,0,,1,142.251.111.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
carwindowreplacementznali.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,Photos of Atlanta Car Window Replacement,http://carwindowreplacementznali.blogspot.com/2015/05/atlanta-car-window-replacement.html,dofollow,1,1,0,yes,0.0,2,2,0,0,,1,172.253.115.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
chlamydia-genome.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,http://ngwindows.com/blog/is-it-time-to-replace-your-homes-entry-doors/,https://chlamydia-genome.blogspot.com/2012/11/is-it-time-to-replace-your-home-entry.html,dofollow,1,1,0,yes,0.0,2,2,0,0,,1,64.233.180.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
customdoorspeisara.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,Photos of Custom Doors Georgia,https://customdoorspeisara.blogspot.com/2015/09/custom-doors-georgia.html,dofollow,1,1,0,yes,0.0,2,2,0,0,,1,142.251.111.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
dommonjilike.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,https://northpointwindows.com/,https://dommonjilike.blogspot.com/,nofollow,7,0,7,yes,0.0,2,2,0,0,,7,172.253.122.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
doorsinteriorkakerumo.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,"Greener, Smarter And Better Doors Through Innovation",https://doorsinteriorkakerumo.blogspot.com/2017/02/iron-doors-interior.html,dofollow,2,2,0,yes,0.0,2,2,0,0,,2,142.251.167.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
doubleentrydoorspokusubo.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,... Access This Document,http://doubleentrydoorspokusubo.blogspot.com/2017/01/replacement-double-entry-doors.html,dofollow,6,6,0,yes,0.0,2,2,0,0,,6,192.178.218.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
doublehungwindownome.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,Pictures of Double Hung Windows Prices,https://doublehungwindownome.blogspot.com/2015/08/double-hung-windows-prices.html,dofollow,1,1,0,yes,0.0,2,2,0,0,,1,172.253.115.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
doublehungwindowwosukana.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,Pictures of Double Hung Windows Prices,http://doublehungwindowwosukana.blogspot.com/2015/08/double-hung-windows-prices.html,dofollow,1,1,0,yes,0.0,2,2,0,0,,1,192.178.218.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
fiberglassdoorpantai.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,"Greener, Smarter And Better Doors Through Innovation",https://fiberglassdoorpantai.blogspot.com/2016/01/luxury-fiberglass-door.html,dofollow,2,2,0,yes,0.0,2,2,0,0,,2,172.253.139.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
fiberglassdoorseshizakino.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,"Greener, Smarter And Better Doors Through Innovation",https://fiberglassdoorseshizakino.blogspot.com/2015/05/discount-fiberglass-doors.html,dofollow,2,2,0,yes,0.0,2,2,0,0,,2,192.179.18.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
glassreplacementkaev.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,Images of Replacement Leaded Glass Windows,http://glassreplacementkaev.blogspot.com/2015/07/replacement-leaded-glass-windows.html,dofollow,4,4,0,yes,0.0,2,2,0,0,,4,172.253.139.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
glassreplacementlnenbire.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,Thermopane Glass Replacement Photos,https://glassreplacementlnenbire.blogspot.com/2015/03/thermopane-glass-replacement.html,dofollow,2,2,0,yes,0.0,2,2,0,0,,2,192.178.218.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
glassreplacementnemurashi.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,Images of Replacement Leaded Glass Windows,https://glassreplacementnemurashi.blogspot.com/2015/07/replacement-leaded-glass-windows.html,dofollow,2,2,0,yes,0.0,2,2,0,0,,2,64.233.180.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
glassreplacementsiholo.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,Thermopane Glass Replacement Photos,http://glassreplacementsiholo.blogspot.com/2015/03/thermopane-glass-replacement.html,dofollow,3,3,0,yes,0.0,2,2,0,0,,3,172.253.63.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
glazeddoorsrikanmu.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,... Retrieve Full Source,http://glazeddoorsrikanmu.blogspot.com/2017/03/mahogany-internal-glazed-doors.html,dofollow,9,9,0,yes,0.0,2,2,0,0,,9,142.250.31.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
innocyscx.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,qualitypluswindows.com,https://innocyscx.blogspot.com/&eid=1&p=216-2-71016b553a1fa2c9.3b14d1d7ea8d5f86,nofollow,32,0,32,yes,0.0,2,2,0,0,,36,172.253.63.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
insurancesolutionforyouesv.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,performingwindows.com,https://insurancesolutionforyouesv.blogspot.com/,nofollow,8,0,8,yes,0.0,2,2,0,0,,8,172.253.122.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
interiorfrenchdoorsederuma.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,Pictures of Interior French Doors Replacement Grids,http://interiorfrenchdoorsederuma.blogspot.com/2016/11/interior-french-doors-replacement-grids.html,dofollow,1,1,0,yes,0.0,2,2,0,0,,1,142.251.163.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
knotknastylimddsd.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,ngwindows.com,https://knotknastylimddsd.blogspot.com/,nofollow,1,0,1,yes,0.0,2,2,0,0,,1,142.251.16.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
mahoganykeishina.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,... Fetch Content,https://mahoganykeishina.blogspot.com/2017/03/mahogany-interior-doors.html,dofollow,2,2,0,yes,0.0,2,2,0,0,,2,142.251.163.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
morisova.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,... Access Doc,http://bifoldingdoorsraganamo.blogspot.com/2015/02/frameless-bi-folding-doors.html,dofollow,557,92,465,yes,0.0,2,2,0,0,,1,64.233.180.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
movil-13-11-2021.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,ngwindows.com,https://movil-13-11-2021.blogspot.com/&eid=1&p=216-2-71016b553a1fa2c9.3b14d1d7ea8d5f86,nofollow,25,0,25,yes,0.0,2,2,0,0,,26,142.250.31.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
novaland-oceanresidence.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,ngwindows.com,https://novaland-oceanresidence.blogspot.com/&eid=1&p=216-2-71016b553a1fa2c9.3b14d1d7ea8d5f86,nofollow,22,0,22,yes,0.0,2,2,0,0,,23,172.253.139.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
odicdsfe.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,ngwindows.com,https://odicdsfe.blogspot.com/&output=application%2Fatom+xml,nofollow,25,0,25,yes,0.0,2,2,0,0,,27,172.253.139.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
olspsystem.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,ngwindows.com,https://olspsystem.blogspot.com/%C2%A0,nofollow,29,0,29,yes,0.0,2,2,0,0,,31,172.253.139.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
oozeas.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,https://ngwindows.com/,https://oozeas.blogspot.com/&eid=1&p=216-2-71016b553a1fa2c9.3b14d1d7ea8d5f86,nofollow,145,0,145,yes,0.0,2,2,0,0,,146,172.253.122.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
palmspringsrentaljinokoku.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,Replacement Windows Atlanta Images,https://palmspringsrentaljinokoku.blogspot.com/2015/10/replacement-windows-atlanta.html,dofollow,2,2,0,yes,0.0,2,2,0,0,,2,172.253.63.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
pasteurnorte29.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,ngwindows.com,https://pasteurnorte29.blogspot.com/,nofollow,1,0,1,yes,0.0,2,2,0,0,,1,172.253.63.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
picturewindowtenyude.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,Photos of Picture Window Replacement Options,http://picturewindowtenyude.blogspot.com/2015/09/picture-window-replacement-options.html,dofollow,2,2,0,yes,0.0,2,2,0,0,,2,173.194.45.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
replacementwindowsctankasu.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,Replacement Leaded Windows Photos,http://replacementwindowsctankasu.blogspot.com/2015/06/replacement-leaded-windows.html,dofollow,1,1,0,yes,0.0,2,2,0,0,,1,142.251.16.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
replacementwindowstodays.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,Atlanta Replacement Windows Photos,http://replacementwindowstodays.blogspot.com/2011/09/atlanta-replacement-windows.html,dofollow,6,6,0,yes,0.0,2,2,0,0,,6,173.194.45.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
slidingdoorantikreigai.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,Double Doors Photos,http://slidingdoorantikreigai.blogspot.com/2017/03/double-doors.html,dofollow,3,3,0,yes,0.0,2,2,0,0,,3,172.253.115.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
vabeatzweser.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,https://ngawindows.com/,https://vabeatzweser.blogspot.com/,nofollow,7,0,7,yes,0.0,2,2,0,0,,7,142.250.31.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
vinylwindowszosima.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,Vinyl Windows Atlanta Photos,https://vinylwindowszosima.blogspot.com/2015/02/,dofollow,2,2,0,yes,0.0,2,2,0,0,,2,172.253.62.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
windowcompaniesbado.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,Window Companies Atlanta Ga,http://windowcompaniesbado.blogspot.com/2015/04/window-companies-atlanta-ga.html,dofollow,2,2,0,yes,0.0,2,2,0,0,,2,142.251.111.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
windowcompaniesbaisashi.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,Window Companies Atlanta Ga,http://windowcompaniesbaisashi.blogspot.com/2015/04/window-companies-atlanta-ga.html,dofollow,1,1,0,yes,0.0,2,2,0,0,,1,142.251.179.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
windowglassreplacementmarik.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,Window Glass Replacement Roswell Ga Pictures,http://windowglassreplacementmarik.blogspot.com/2015/05/window-glass-replacement-roswell-ga.html,dofollow,3,3,0,yes,0.0,2,2,0,0,,3,172.253.62.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
windowglassreplacementnshinso.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,Images of Leaded Glass Replacement Windows,http://windowglassreplacementnshinso.blogspot.com/2015/09/leaded-glass-replacement-windows.html,dofollow,1,1,0,yes,0.0,2,2,0,0,,1,142.251.179.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
windowpanestsuihasu.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,Condensation On Windows - Window Replacement In Atlanta,http://windowpanestsuihasu.blogspot.com/2015/01/window-condensation-between-panes.html,dofollow,6,6,0,yes,0.0,2,2,0,0,,6,142.251.179.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
windowpaneszor.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,... View Document,http://windowpaneszor.blogspot.com/2015/01/moisture-between-window-panes.html,dofollow,10,10,0,yes,0.0,2,2,0,0,,10,172.253.139.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
windowreplacementpodrya.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,Window Replacement Deals,http://windowreplacementpodrya.blogspot.com/2015/03/window-replacement-deals.html,dofollow,5,5,0,yes,0.0,2,2,0,0,,5,142.251.163.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
windowreplacementyubirige.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,Window Replacement Norman Ok Photos,http://windowreplacementyubirige.blogspot.com/2015/04/window-replacement-norman-ok.html,dofollow,3,3,0,yes,0.0,2,2,0,0,,3,142.251.111.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
windowstylesrabokume.blogspot.com,DISAVOW,P1 – Core (disavow),HIGH,Blogspot PBN / spam post,Spam blog post (Blogspot PBN),SPAM/money,Window Styles With Grids,http://windowstylesrabokume.blogspot.com/2015/03/window-styles-with-grids.html,dofollow,1,1,0,yes,0.0,2,2,0,0,,1,192.178.218.132,us,,"footprint: Blogspot PBN / spam post | dead (auth=2,0 traffic,0 kw)",
all-aged-domains.com,DISAVOW,P1 – Core (disavow),HIGH,Expired-domain / auto network,Expired-domain spam network,,performingwindows.com,https://all-aged-domains.com/page-18c6f7b2b74807a8ca4d96aec043dde8.html,dofollow,20,20,0,yes,0.0,5,5,0,0,,20,172.67.215.228,,,footprint: Expired-domain / auto network | no organic traffic/kw (auth=5),
alltopleveldomains.space,DISAVOW,P1 – Core (disavow),HIGH,Expired-domain / auto network,Expired-domain spam network,,roiwindows.com,http://alltopleveldomains.space/page-d485bee01a16aec182a234e4d87c5708.html,dofollow,15,15,0,yes,0.0,2,2,0,0,,15,118.139.181.85,sg,,"footprint: Expired-domain / auto network | link-network IP 118.139.181.85 (+31 siblings) | known link-farm IP block | dead (auth=2,0 traffic,0 kw)",
domraider.eu.com,DISAVOW,P1 – Core (disavow),HIGH,Expired-domain / auto network,Expired-domain spam network,,northpointwindows.com,https://domraider.eu.com/c2a7fbvp-listi/,dofollow,9,9,0,yes,0.0,0,0,0,0,,9,104.21.16.138,,,"footprint: Expired-domain / auto network | dead (auth=0,0 traffic,0 kw)",
