Referring Domain,Old Flag,Verdict,Backlinks (stated),Links Pulled,Follow,Nofollow,Unique Anchors,Top Anchor,Anchor Profile,Target Profile,Redirect Hosts,Affiliate Account IDs,Programme Banner IDs,Sponsor Path,Filler Anchors,Dead/Unreachable,Median Outlinks,Reason
arparquets.it,No Link-Level Sample - Unverified,DISAVOW,14,14,0,14,1,TG @LINKS_DEALER | EFFECTIVE SEO LINKS FOR WWW.PERFORMANCELAB.COM,vendor-advert=14,article=14,,,,,0,0,3001,Anchor text advertises a link-selling or hacked-site service (14/14 links). The page exists to sell links; this one is the sample.
ashthdhatu.com,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,1,1,1,0,1,Click here for the lowest price,commercial-cta=1,product=1,,5ce32f9c1c441,a2ad38c1,,0,0,93,Target URLs carry affiliate account 5ce32f9c1c441 — a tracked partner in the client's own programme.
atleetzone.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,5,5,5,0,5,de energie metabolisme,raw-url=3;descriptive=2,article=5,,,,,0,0,42,"3/5 anchors are the bare target URL, replicated across a templated footprint. No exact-match commercial anchor, so low equity risk, but not editorial either."
atomizelink.icu,Hosting Cluster - Verify Ownership,DISAVOW,3,1,0,1,1,nutropic.com,bare-domain=1,product=1,nutropic.com,,,,0,0,3500,"Bare-domain anchors on pages carrying ~3500 outbound links — a domain-stats/shortener scraper reproducing a directory, not a citation."
automaned.com,No Link-Level Sample - Unverified,DISAVOW,5,3,0,3,1,🍪 TELEGRAM @SALESOVEN | ACCESS TO HACKED SITES FOR SEO | HTTPS://T.ME/SALESOVEN 🔥,vendor-advert=3,article=3,,,,,0,0,3006,Anchor text advertises a link-selling or hacked-site service (3/3 links). The page exists to sell links; this one is the sample.
axisholistic.rest,"Spam-Associated TLD, Near-Zero Authority",DISAVOW,3,3,3,0,3,Taster box – 4 bars (£8.99),descriptive=2;branded=1,product=3,nutropic.com,,,,0,0,72,"Verbatim clone of a UK publisher commerce table, replicated across 15 throwaway domains (goodfood fingerprint)."
baskidunyasi.net,No Link-Level Sample - Unverified,DISAVOW,45,45,0,45,1,TG @LINKS_DEALER | EFFECTIVE SEO LINKS FOR WWW.PERFORMANCELAB.COM,vendor-advert=45,article=45,,,,,0,0,3012,Anchor text advertises a link-selling or hacked-site service (45/45 links). The page exists to sell links; this one is the sample.
batizens.vn,No Link-Level Sample - Unverified,DISAVOW,3,2,0,2,1,🍪 TELEGRAM @SALESOVEN | ACCESS TO HACKED SITES FOR SEO | HTTPS://T.ME/SALESOVEN 🔥,vendor-advert=2,article=2,,,,,0,0,3008,Anchor text advertises a link-selling or hacked-site service (2/2 links). The page exists to sell links; this one is the sample.
berlin-immobilien-verkaufen.de,No Link-Level Sample - Unverified,DISAVOW,1,1,0,1,1,JOIN OUR TELEGRAM https://t.me/s/darksidelinks,vendor-advert=1,article=1,testolabpro.com,,,,0,0,3006,Anchor text advertises a link-selling or hacked-site service (1/1 links). The page exists to sell links; this one is the sample.
best4you.info,No Link-Level Sample - Unverified,DISAVOW,5,5,5,0,3,Performance Lab (from £19),descriptive=3;branded=2,product=5,nutropic.com,,,,0,0,69,"Verbatim clone of a UK publisher commerce table, replicated across 15 throwaway domains (goodfood fingerprint)."
blazingblog.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,17,17,17,0,10,website,descriptive=11;commercial-cta=4;branded=2,homepage=13;product=4,nutropic.com,68990cbe508aa,a2ad38c1,,11,0,4,"Affiliate account 68990cbe508aa operates 43 of these domains, and this one is 11/17 filler anchors on follow links from a free blog platform. An affiliate ID says who built the link, not that it is safe to keep: follow affiliate links are a link-scheme exposure whoever placed them. This is a programme-compliance decision (require nofollow) rather than a spam call."
blkgrn.mom,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,1,1,1,0,1,how to recover wgen you're tired after working out,descriptive=1,article=1,,,,,0,0,5,"Descriptive or branded anchors pointing at deep articles and product pages, on a page with a normal outbound-link count — editorial citation shape."
blog-eye.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,18,18,18,0,13,more info,descriptive=16;commercial-cta=2,homepage=14;product=4,nutropic.com,68990cbe508aa,a2ad38c1,,10,0,4,"Affiliate account 68990cbe508aa operates 43 of these domains, and this one is 10/18 filler anchors on follow links from a free blog platform. An affiliate ID says who built the link, not that it is safe to keep: follow affiliate links are a link-scheme exposure whoever placed them. This is a programme-compliance decision (require nofollow) rather than a spam call."
blogars.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,10,10,10,0,7,check here,commercial-cta=5;descriptive=5,homepage=8;product=2,nutropic.com,68990cbe508aa,a2ad38c1,,7,0,4,"Affiliate account 68990cbe508aa operates 43 of these domains, and this one is 7/10 filler anchors on follow links from a free blog platform. An affiliate ID says who built the link, not that it is safe to keep: follow affiliate links are a link-scheme exposure whoever placed them. This is a programme-compliance decision (require nofollow) rather than a spam call."
blogdemls.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,18,18,18,0,14,website,descriptive=14;commercial-cta=3;branded=1,homepage=14;product=4,nutropic.com,68990cbe508aa,a2ad38c1,,9,0,4,"Affiliate account 68990cbe508aa operates 43 of these domains, and this one is 9/18 filler anchors on follow links from a free blog platform. An affiliate ID says who built the link, not that it is safe to keep: follow affiliate links are a link-scheme exposure whoever placed them. This is a programme-compliance decision (require nofollow) rather than a spam call."
blogdomago.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,10,10,10,0,8,check here,descriptive=5;commercial-cta=3;branded=2,homepage=7;product=3,nutropic.com,68990cbe508aa,a2ad38c1,,6,0,4,"Affiliate account 68990cbe508aa operates 43 of these domains, and this one is 6/10 filler anchors on follow links from a free blog platform. An affiliate ID says who built the link, not that it is safe to keep: follow affiliate links are a link-scheme exposure whoever placed them. This is a programme-compliance decision (require nofollow) rather than a spam call."
blogdosaga.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,18,34,34,0,11,more info,descriptive=22;branded=6;commercial-cta=6,homepage=28;product=6,nutropic.com,68990cbe508aa,a2ad38c1,,19,0,4,"Affiliate account 68990cbe508aa operates 43 of these domains, and this one is 19/34 filler anchors on follow links from a free blog platform. An affiliate ID says who built the link, not that it is safe to keep: follow affiliate links are a link-scheme exposure whoever placed them. This is a programme-compliance decision (require nofollow) rather than a spam call."
bloggactivo.com,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,17,17,17,0,13,read more,descriptive=11;branded=4;commercial-cta=2,homepage=13;product=4,nutropic.com,68990cbe508aa,a2ad38c1,,7,0,4,Target URLs carry affiliate account 68990cbe508aa — a tracked partner in the client's own programme; that account operates 43 of these domains.
bloggadores.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,18,18,18,0,13,here,descriptive=13;commercial-cta=4;branded=1,homepage=14;product=4,nutropic.com,68990cbe508aa,a2ad38c1,,11,0,4,"Affiliate account 68990cbe508aa operates 43 of these domains, and this one is 11/18 filler anchors on follow links from a free blog platform. An affiliate ID says who built the link, not that it is safe to keep: follow affiliate links are a link-scheme exposure whoever placed them. This is a programme-compliance decision (require nofollow) rather than a spam call."
bloggin-ads.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,18,18,18,0,14,here,descriptive=14;commercial-cta=2;branded=2,homepage=14;product=4,nutropic.com,68990cbe508aa,a2ad38c1,,9,0,2,"Affiliate account 68990cbe508aa operates 43 of these domains, and this one is 9/18 filler anchors on follow links from a free blog platform. An affiliate ID says who built the link, not that it is safe to keep: follow affiliate links are a link-scheme exposure whoever placed them. This is a programme-compliance decision (require nofollow) rather than a spam call."
blogginaway.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,15,15,15,0,10,check here,descriptive=11;commercial-cta=3;branded=1,homepage=11;product=4,nutropic.com,68990cbe508aa,a2ad38c1,,9,0,4,"Affiliate account 68990cbe508aa operates 43 of these domains, and this one is 9/15 filler anchors on follow links from a free blog platform. An affiliate ID says who built the link, not that it is safe to keep: follow affiliate links are a link-scheme exposure whoever placed them. This is a programme-compliance decision (require nofollow) rather than a spam call."
blogitright.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,17,17,17,0,10,get more info,descriptive=15;commercial-cta=2,homepage=14;product=3,nutropic.com,68990cbe508aa,a2ad38c1,,10,0,4,"Affiliate account 68990cbe508aa operates 43 of these domains, and this one is 10/17 filler anchors on follow links from a free blog platform. An affiliate ID says who built the link, not that it is safe to keep: follow affiliate links are a link-scheme exposure whoever placed them. This is a programme-compliance decision (require nofollow) rather than a spam call."
blogolenta.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,18,18,18,0,9,read more,descriptive=12;commercial-cta=6,homepage=14;product=4,nutropic.com,68990cbe508aa,a2ad38c1,,13,0,4,"Affiliate account 68990cbe508aa operates 43 of these domains, and this one is 13/18 filler anchors on follow links from a free blog platform. An affiliate ID says who built the link, not that it is safe to keep: follow affiliate links are a link-scheme exposure whoever placed them. This is a programme-compliance decision (require nofollow) rather than a spam call."
blogoscience.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,18,18,18,0,8,check here,descriptive=14;commercial-cta=4,homepage=14;product=4,nutropic.com,68990cbe508aa,a2ad38c1,,10,0,4,"Affiliate account 68990cbe508aa operates 43 of these domains, and this one is 10/18 filler anchors on follow links from a free blog platform. An affiliate ID says who built the link, not that it is safe to keep: follow affiliate links are a link-scheme exposure whoever placed them. This is a programme-compliance decision (require nofollow) rather than a spam call."
blogpostie.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,16,16,16,0,10,more info,descriptive=12;commercial-cta=4,homepage=13;product=3,nutropic.com,68990cbe508aa,a2ad38c1,,11,0,2,"Affiliate account 68990cbe508aa operates 43 of these domains, and this one is 11/16 filler anchors on follow links from a free blog platform. An affiliate ID says who built the link, not that it is safe to keep: follow affiliate links are a link-scheme exposure whoever placed them. This is a programme-compliance decision (require nofollow) rather than a spam call."
blogproducer.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,18,18,18,0,10,check here,descriptive=10;commercial-cta=6;branded=2,homepage=14;product=4,nutropic.com,68990cbe508aa,a2ad38c1,,11,0,4,"Affiliate account 68990cbe508aa operates 43 of these domains, and this one is 11/18 filler anchors on follow links from a free blog platform. An affiliate ID says who built the link, not that it is safe to keep: follow affiliate links are a link-scheme exposure whoever placed them. This is a programme-compliance decision (require nofollow) rather than a spam call."
blogsmine.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,17,17,17,0,10,read more,descriptive=11;commercial-cta=5;branded=1,homepage=14;product=3,nutropic.com,68990cbe508aa,a2ad38c1,,11,0,4,"Affiliate account 68990cbe508aa operates 43 of these domains, and this one is 11/17 filler anchors on follow links from a free blog platform. An affiliate ID says who built the link, not that it is safe to keep: follow affiliate links are a link-scheme exposure whoever placed them. This is a programme-compliance decision (require nofollow) rather than a spam call."
blogsphere.top,Hosting Cluster - Verify Ownership,DISAVOW,5,2,0,2,2,performancelab.com,bare-domain=2,homepage=1;article=1,testolabpro.com,,,,0,0,3500,"Bare-domain anchors on pages carrying ~3500 outbound links — a domain-stats/shortener scraper reproducing a directory, not a citation."
blogsuperapp.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,17,17,17,0,9,click here,descriptive=13;commercial-cta=4,homepage=13;product=4,nutropic.com,68990cbe508aa,a2ad38c1,,12,0,4,"Affiliate account 68990cbe508aa operates 43 of these domains, and this one is 12/17 filler anchors on follow links from a free blog platform. An affiliate ID says who built the link, not that it is safe to keep: follow affiliate links are a link-scheme exposure whoever placed them. This is a programme-compliance decision (require nofollow) rather than a spam call."
blogsvirals.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,18,29,29,0,13,check here,descriptive=20;commercial-cta=7;branded=2,homepage=22;product=7,nutropic.com,68990cbe508aa,a2ad38c1,,16,0,4,"Affiliate account 68990cbe508aa operates 43 of these domains, and this one is 16/29 filler anchors on follow links from a free blog platform. An affiliate ID says who built the link, not that it is safe to keep: follow affiliate links are a link-scheme exposure whoever placed them. This is a programme-compliance decision (require nofollow) rather than a spam call."
bloguetechno.com,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,18,18,18,0,11,get more info,descriptive=14;branded=2;commercial-cta=2,homepage=13;product=5,nutropic.com,68990cbe508aa,a2ad38c1,,5,0,2,Target URLs carry affiliate account 68990cbe508aa — a tracked partner in the client's own programme; that account operates 43 of these domains.
blogunok.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,17,17,17,0,9,website,descriptive=16;commercial-cta=1,homepage=13;product=4,nutropic.com,68990cbe508aa,a2ad38c1,,11,0,4,"Affiliate account 68990cbe508aa operates 43 of these domains, and this one is 11/17 filler anchors on follow links from a free blog platform. An affiliate ID says who built the link, not that it is safe to keep: follow affiliate links are a link-scheme exposure whoever placed them. This is a programme-compliance decision (require nofollow) rather than a spam call."
bluecantera.com,No Link-Level Sample - Unverified,DISAVOW,17,25,0,25,1,JOIN OUR TELEGRAM https://t.me/s/darksidelinks,vendor-advert=25,homepage=13;article=12,testolabpro.com,,,,0,0,29976,Anchor text advertises a link-selling or hacked-site service (25/25 links). The page exists to sell links; this one is the sample.
bluxeblog.com,No Link-Level Sample - Unverified,REVIEW_MANUALLY,13,24,24,0,10,daily multivitamin,descriptive=17;commercial-cta=7,homepage=18;product=6,nutropic.com,68990cbe508aa,a2ad38c1,,12,0,2,"Affiliate account 68990cbe508aa operates 43 of these domains, and this one is 12/24 filler anchors on follow links from a free blog platform. An affiliate ID says who built the link, not that it is safe to keep: follow affiliate links are a link-scheme exposure whoever placed them. This is a programme-compliance decision (require nofollow) rather than a spam call."
bnksp.org,No Link-Level Sample - Unverified,DISAVOW,3,3,0,3,1,🍪 TELEGRAM @SALESOVEN | ACCESS TO HACKED SITES FOR SEO | HTTPS://T.ME/SALESOVEN 🔥,vendor-advert=3,article=3,,,,,0,0,21285,Anchor text advertises a link-selling or hacked-site service (3/3 links). The page exists to sell links; this one is the sample.
bodybalancequest.com,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,3,3,3,0,1,Performance Lab,branded=3,article=3,,,,,0,2,7,"Descriptive or branded anchors pointing at deep articles and product pages, on a page with a normal outbound-link count — editorial citation shape."
booksreadr.org,No Link-Level Sample - Unverified,DISAVOW,10,17,17,0,4,nutropic.com,bare-domain=17,homepage=8;product=6;article=3,dtcx.com;nutropic.com;testolabpro.com,,,,0,0,10159,"Bare-domain anchors on pages carrying ~10159 outbound links — a domain-stats/shortener scraper reproducing a directory, not a citation."
braintropic.com,Hosting Cluster - Verify Ownership,REVIEW_MANUALLY,13,13,13,0,11,PerformanceLab.com,branded=8;descriptive=3;bare-domain=2,other=7;product=4;homepage=2,,,,,0,0,14,"No single footprint dominates: anchors {'branded': 8, 'descriptive': 3, 'bare-domain': 2}, targets {'other': 7, 'product': 4}, 13 follow / 0 nofollow."
btcpods.xyz,"Spam-Associated TLD, Near-Zero Authority",KEEP_AFFILIATE_RETAIN,8,8,8,0,1,mindlabpro.com/breedlove,descriptive=8,other=8,,,,/breedlove,0,0,4,"All 8 links point at /breedlove — a bespoke sponsor/partner landing page, not a commercial product path. Same footprint the audit already accepted for whatismoneypodcast.com."
businessvocal.com,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,5,5,0,5,4,visit nutropic.com for latest info,branded=4;commercial-cta=1,product=2;homepage=2;article=1,dtcx.com;nutropic.com;testolabpro.com,,,,0,0,10000,Links route through the client's own brand estate (testolabpro.com).
buzzshrink.website,Hosting Cluster - Verify Ownership,DISAVOW,1,1,0,1,1,performancelab.com,bare-domain=1,homepage=1,,,,,0,0,3500,"Bare-domain anchors on pages carrying ~3500 outbound links — a domain-stats/shortener scraper reproducing a directory, not a citation."
bye.fyi,Hosting Cluster - Verify Ownership,DISAVOW,5,3,0,3,3,nutropic.com,bare-domain=3,homepage=2;product=1,dtcx.com;nutropic.com,,,,0,0,3500,"Bare-domain anchors on pages carrying ~3500 outbound links — a domain-stats/shortener scraper reproducing a directory, not a citation."
byteshort.xyz,Hosting Cluster - Verify Ownership,DISAVOW,7,7,0,7,4,dtcx.com,bare-domain=7,homepage=4;article=2;product=1,dtcx.com;nutropic.com;testolabpro.com,,,,0,0,3500,"Bare-domain anchors on pages carrying ~3500 outbound links — a domain-stats/shortener scraper reproducing a directory, not a citation."
caffeine-alternatives.com,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,6,6,3,3,4,Learn More,descriptive=3;branded=3,product=6,,648aeb87e86fc,,,3,0,7,Target URLs carry affiliate account 648aeb87e86fc — a tracked partner in the client's own programme.
cataglow.com,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,31,50,50,0,26,Vitamin D,descriptive=40;branded=8;commercial-cta=2,product=47;homepage=3,,cata888,a2ad38c1,,1,0,17,Target URLs carry affiliate account cata888 — a tracked partner in the client's own programme; that account operates 2 of these domains.
cctvss1004.com,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,9,9,0,9,1,class=,descriptive=9,article=9,,,,,0,0,11,"Descriptive or branded anchors pointing at deep articles and product pages, on a page with a normal outbound-link count — editorial citation shape."
cfshelp.info,No Link-Level Sample - Unverified,REVIEW_MANUALLY,1,1,1,0,1,Omega-3’s,descriptive=1,product=1,,,,,0,0,252,"No single footprint dominates: anchors {'descriptive': 1}, targets {'product': 1}, 1 follow / 0 nofollow."
chin-thai-restaurant-brackenheim.de,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,1,1,1,0,1,Das Gehirn verbraucht etwa zwanzig Prozent des täglichen Energiebedarfs,descriptive=1,article=1,,,,,0,0,3,"Descriptive or branded anchors pointing at deep articles and product pages, on a page with a normal outbound-link count — editorial citation shape."
chiromed.org,Hosting Cluster - Verify Ownership,REVIEW_MANUALLY,2,2,2,0,1,,empty=2,product=2,,,,,0,0,0,"No single footprint dominates: anchors {'empty': 2}, targets {'product': 2}, 2 follow / 0 nofollow."
chordmp3.net,No Link-Level Sample - Unverified,DISAVOW,2,2,2,0,1,High Quality Dofollow Backlinks DA 50 PA 40 Premium PBN Network Service dtcx.com Rank First Page Google Fast SEO Link Bu,vendor-advert=2,homepage=2,dtcx.com,,,,0,0,3000,Anchor text advertises a link-selling or hacked-site service (2/2 links). The page exists to sell links; this one is the sample.
christhoma.com,Hosting Cluster - Verify Ownership,KEEP_AFFILIATE_RETAIN,4,4,4,0,1,Mind Lab Pro is the best nootropic supplement,branded=4,product=4,,6778db89addb9,67fd84dc,,0,0,7,Target URLs carry affiliate account 6778db89addb9 — a tracked partner in the client's own programme.
chronotherapeutics.org,Hosting Cluster - Verify Ownership,KEEP_AFFILIATE_RETAIN,5,4,4,0,1,,empty=4,product=4,,5fad81fe89a7d,a2ad38c1,,0,0,0,Target URLs carry affiliate account 5fad81fe89a7d — a tracked partner in the client's own programme; that account operates 2 of these domains.
cidadetoda.com.br,No Link-Level Sample - Unverified,DISAVOW,6,6,0,6,1,🍪 TELEGRAM @SALESOVEN | ACCESS TO HACKED SITES FOR SEO | HTTPS://T.ME/SALESOVEN 🔥,vendor-advert=6,article=6,,,,,0,0,3008,Anchor text advertises a link-selling or hacked-site service (6/6 links). The page exists to sell links; this one is the sample.
cloakist.site,No Link-Level Sample - Unverified,KEEP_AFFILIATE_RETAIN,1,1,1,0,1,Performance Lab® Ultramodern Nutrition. Upgrade Yourself.,branded=1,homepage=1,,676000c964e7d,,,0,0,4,Target URLs carry affiliate account 676000c964e7d — a tracked partner in the client's own programme.
cogniscore.co.uk,No Link-Level Sample - Unverified,REVIEW_MANUALLY,6,6,6,0,1,See current price,commercial-cta=6,product=6,,,,,0,0,2,"No single footprint dominates: anchors {'commercial-cta': 6}, targets {'product': 6}, 6 follow / 0 nofollow."
crazypeople.online,"Spam-Associated TLD, Near-Zero Authority",KEEP_AFFILIATE_RETAIN,3,1,1,0,1,It depends,descriptive=1,article=1,,,,,0,0,55,"Descriptive or branded anchors pointing at deep articles and product pages, on a page with a normal outbound-link count — editorial citation shape."
