domain,decision,priority,strict_verdict,why,follow,aclass,example_anchor,backlink_url,authority,dr,ascore,traffic,positions,is_spam,links,ip,country,tier_reason,link_checked
bulkdata.io,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,nofollow,commercial,https://ngwindows.com/?utm_source=GMBlisting&utm_medium=organic,https://bulkdata.io/en-gb/dataset/companies/9s2PJ2l14enZOYcEY64i5nMNKBv2ZsRsgVAlwoxv3DL87b2fQtvNAkrTQu/view,2,0.0,2,0,0,,2,178.62.48.29,gb,exact-match commercial anchor,yes
bulkdataprovider.com,DISAVOW,P2 – Recommended (disavow),UPGRADED review→disavow,Borderline — manual check,dofollow,commercial,www.ngwindows.com,https://bulkdataprovider.com/industry/company/north-georgia-replacement-windows-inc,9,0.0,9,0,0,,1,172.67.156.181,,exact-match commercial anchor,yes
businessvocal.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,nofollow,commercial,visit thermatrustwindows.com for latest info,https://web.businessvocal.com/04/BUsUIwYkyw,3,0.0,3,0,0,,13,172.67.164.57,,exact-match commercial anchor,yes
cameraamministrativasalernitana.it,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,nofollow,commercial,Windows Atlanta,https://www.cameraamministrativasalernitana.it/il-nuovo-diritto-processuale-amministrativo-2/,2,0.0,2,0,0,,1,89.46.108.67,it,exact-match commercial anchor,yes
candidmama.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,new windows for your home,https://candidmama.com/how-to-create-a-home-you-will-love-living-in/,3,0.0,3,0,0,,1,185.181.255.109,us,exact-match commercial anchor,yes
cbd-research.net,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,nofollow,commercial,Windows Atlanta,http://cbd-research.net/uncategorized/negative-effects-of-cannabidiol/,0.0,0.0,0,0,0,,3,,,exact-match commercial anchor,yes
chimneyproduct.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,nofollow,commercial,Window Installation: Window Installation Atlanta | 200 × 300,http://chimneyproduct.com/home/gas-fireplace-installation-cost-edmonton.php,0.0,0.0,0,0,0,,2,,,exact-match commercial anchor,yes
circuscoolschool.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,nofollow,commercial,Window Replacement Atlanta,http://circuscoolschool.com/,0.0,0.0,0,0,0,,1,,,exact-match commercial anchor,yes
cityvetted.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,nofollow,commercial,NG Windows,https://cityvetted.com/best/best-window-installation-gainesville,2,0.0,2,0,0,,2,62.169.24.248,fr,exact-match commercial anchor,yes
clackamaswebacademy.info,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,Window Replacement in Atlanta North Georgia Windows North Georgia,http://clackamaswebacademy.info/exterior-shutters-atlanta,0.0,0.0,0,0,0,,1,,,exact-match commercial anchor,yes
click2kolkata.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,nofollow,commercial,door that contains wrought iron,http://click2kolkata.com/2015/05/18/iron-works-in-the-home/,0.0,0.0,0,0,0,,1,,,exact-match commercial anchor,yes
colormehouse.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,North Georgia Replacement Windows,https://www.colormehouse.com/2022/04/10/wooden-or-pvc-windows-what-to-consider/,2,0.0,2,0,0,,1,68.65.123.94,us,exact-match commercial anchor,yes
computersolutionscr.info,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,Window Replacement in Atlanta North Georgia Replacement Windows,https://computersolutionscr.info/exterior-shutters-atlanta/,0.0,0.0,0,0,0,,1,,,exact-match commercial anchor,yes
crowdyhome.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,upgrading your front door,https://www.crowdyhome.com/how-to-give-your-homes-exterior-a-facelift/,4,0.0,4,0,0,,2,13.56.15.200,us,exact-match commercial anchor,yes
cubi.us,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,Prefab Sunroom Kit : Sunroom additions joy studio design gallery best,http://cubi.us/20171019050332_prefab-sunroom-kit/,0.0,0.0,0,0,0,,5,,,exact-match commercial anchor,yes
cultivatehd.com,DISAVOW,P2 – Recommended (disavow),UPGRADED review→disavow,Borderline — manual check,dofollow,commercial,window screen inspection guidance,https://cultivatehd.com/can-you-reuse-screen-spline/,14,0.0,14,0,0,,1,192.30.132.114,us,exact-match commercial anchor,yes
cvcard.ir,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,Wooden Shutters & Vinyl Shutters | North Georgia Windows |,http://www.cvcard.ir/post/37597/wood-vs-vinyl-shutters,0.0,0.0,0,0,0,,1,,,exact-match commercial anchor,yes
data2salesai.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,www.ngwindows.com,https://www.data2salesai.com/industry/company/north-georgia-replacement-windows-inc,6,0.0,6,0,0,,1,104.21.77.21,,exact-match commercial anchor,yes
databaseimg.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,Grill Styles For Windows Windows With Grille Windows With Grille Source Abuse Report,http://databaseimg.com/grill+styles+for+windows,0.0,0.0,0,0,0,,1,,,exact-match commercial anchor,yes
decorologyblog.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,replace your windows,https://decorologyblog.com/page/48,6,0.0,6,0,0,,2,104.21.59.59,,exact-match commercial anchor,yes
descargas-mundiales.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,nofollow,commercial,Window Replacement in Atlanta | North Georgia Replacement Windows,http://www.descargas-mundiales.com/des/doors-atlanta.asp,0.0,0.0,0,0,0,,1,,,exact-match commercial anchor,yes
dishwashercreations.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,NG Windows,https://dishwashercreations.com/2022/03/13/the-things-we-like-to-change-around-the-home/,2,0.0,2,0,0,,1,69.28.90.102,us,exact-match commercial anchor,yes
disunplugged.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,nofollow,commercial,Windows Atlanta,http://disunplugged.com/2012/04/04/disneylands-discover-the-magic-guided-tour/discovertour1/comment-page-21/,6,0.0,6,0,0,,2,108.171.164.213,us,exact-match commercial anchor,yes
dream-houses.us,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,nofollow,commercial,Window replacement in atlanta north georgia replacement Window replacement in atlanta north georgia replacement Download,http://dream-houses.us/custom-windows-and-doors-traditional-windows-orange/,0.0,0.0,0,0,0,,1,,,exact-match commercial anchor,yes
dtviewlx.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,nofollow,commercial,https://www.ngwindows.com/,https://window-replacement-alpharetta.dtviewlx.com/,2,0.0,2,0,0,,1,104.21.63.213,,exact-match commercial anchor,yes
eurekster.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,https://www.ngwindows.com/blog/why-maintaining-your-window-screens-is,https://p.eurekster.com/?apdiv=Submit&id&search=Adjustable%20Window%20Screens,6,0.0,6,0,0,,64,170.9.240.198,us,exact-match commercial anchor,yes
everythingwithatwist.com,DISAVOW,P2 – Recommended (disavow),UPGRADED review→disavow,Borderline — manual check,dofollow,commercial,Replacement Windows,https://everythingwithatwist.com/2023/01/08/curb-appeal-5-home-exterior-ideas-to-make-more-attractive/,14,0.0,14,0,0,,1,35.212.72.114,us,exact-match commercial anchor,yes
ezio.us,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,Doors Atlanta amp Larson Afer 1 Doors Atlanta amp Larson Afer 1,http://ezio.us/tulsa-overhead-door.html,0.0,0.0,0,0,0,,1,,,exact-match commercial anchor,yes
fixthehome.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,www.ngwindows.com/,http://www.fixthehome.com/listing/13597/,6,0.0,6,0,0,,3,216.137.176.69,us,exact-match commercial anchor,yes
foaminsulationtips.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,Pictures of Air Tite Foam Insulation Inc,https://www.foaminsulationtips.com/air-tite-foam-insulation-inc/,2,0.0,2,0,0,,4,172.67.185.120,,exact-match commercial anchor,yes
frenchmature.me,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,Decorative Iron Fiberglass Doors Atlanta NG Windows North Decorative Doors Custom Front Doors In Atlanta,http://frenchmature.me/custom-front-doors-atlanta,0.0,0.0,0,0,0,,4,,,exact-match commercial anchor,yes
generatorgator.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,nofollow,commercial,Window Replacement Company Atlanta,https://www.generatorgator.com/briggs-stratton-30469-review/,5,0.0,5,0,0,,3,172.67.220.23,,exact-match commercial anchor,yes
georgiashutters.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,nofollow,commercial,Vinyl Windows Atlanta,https://georgiashutters.com/admin/review-sharon-from-johns-creek/,2,0.0,2,0,0,,1,104.21.31.145,,exact-match commercial anchor,yes
gnpmilton.com,DISAVOW,P2 – Recommended (disavow),UPGRADED review→disavow,Borderline — manual check,dofollow,commercial,https://www.ngwindows.com/,https://gnpmilton.com/c/podcasts/b/ep-37-north-georgia-replacement-windows-with-ted-kirk,11,0.0,11,0,0,,2,34.68.234.4,us,exact-match commercial anchor,yes
goldenpondconsulting.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,nofollow,commercial,Window Replacement Company Atlanta,http://www.goldenpondconsulting.com/human-resource-management,0.0,0.0,0,0,0,,1,,,exact-match commercial anchor,yes
gridinsoft.ua,DISAVOW,P2 – Recommended (disavow),UPGRADED review→disavow,Borderline — manual check,nofollow,commercial,Відвідати Ngwindows.com,https://gridinsoft.ua/online-virus-scanner/url/ngwindows-com,12,0.0,12,0,0,,1,104.21.50.161,,exact-match commercial anchor,yes
haitisoleil.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,North Georgia Replacement Windows,http://www.haitisoleil.com/index.php?page=search/web&search=north+georgia+windows+and+doors&type=web,0.0,0.0,0,0,0,,2,,,exact-match commercial anchor,yes
hellobetty.co,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,Replacement Windows,https://hellobetty.co/fresh-content-sprucing-up-your-curb-appeal-4-quick-and-easy-renovation-tips/,5,0.0,5,0,0,,1,147.79.79.21,us,exact-match commercial anchor,yes
hghomeclub.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,North Georgia Replacement Windows,https://hghomeclub.com/faithful-leadership-window-wisdom-podcast/,6,0.0,6,0,0,,1,132.148.183.109,us,exact-match commercial anchor,yes
homebuilderdeveloper.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,Residential Window Replacement Atlanta | NG Windows ...,http://www.homebuilderdeveloper.com/window-replacement/residential-window-replacement-atlanta-ng-windows.php,3,0.0,3,0,0,,8,162.250.126.98,us,exact-match commercial anchor,yes
homerenoworld.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,North Georgia Replacement Windows,http://homerenoworld.com/exterior-inspiration/,2,0.0,2,0,0,,4,216.185.212.113,us,exact-match commercial anchor,yes
hometop.us,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,nofollow,commercial,Window replacement in atlanta north georgia replacement windows Window replacement in atlanta north georgia replacement windows Download,http://hometop.us/double-entry-doors-with-custom-frosted-glass-sans-soucie-art-glass/,0.0,0.0,0,0,0,,1,,,exact-match commercial anchor,yes
housegarden.us,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,nofollow,commercial,Bilco Doors additionally Mobile Home Storm Doors Exterior in addition Door Jamb Extension Kit as well Home Depot Fiberglass Entry Doors furthermore Crawl Space Doors. on home depot,http://housegarden.us/home/home-depot-entry-doors,0.0,0.0,0,0,0,,1,,,exact-match commercial anchor,yes
houselamp.us,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,nofollow,commercial,Decorative Door Trim Kits as well Craftsman Storage Shed in addition Window Sash Balance Replacement furthermore Drill as well Model HO Train Detail Parts. on home depot resin,http://houselamp.us/home/home-depot-resin,0.0,0.0,0,0,0,,1,,,exact-match commercial anchor,yes
intermeritocracy.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,nofollow,commercial,Window Replacement Company,http://intermeritocracy.com/5-reasons-for-etfs/,2,0.0,2,0,0,,6,198.12.240.20,us,exact-match commercial anchor,yes
jobsapp.info,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,northpointwindows.com,https://jobsapp.info/0735674f420eb4305092bacc860401a2-l/,6,0.0,6,0,0,,22,104.21.0.207,,exact-match commercial anchor,yes
jogger.net,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,North Georgia Replacement Windows - Official Site,https://home-window-repair.jogger.net/home-window-repair-near-me-clermont-ga-30527.html,0.0,0.0,0,0,0,,2,,,exact-match commercial anchor,yes
johnnybroccolii.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,North Georgia Replacement Windows,https://www.johnnybroccolii.com/6-reasons-to-upgrade-your-windows/,2,0.0,2,0,0,,1,54.36.152.144,fr,exact-match commercial anchor,yes
knows.monster,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,nofollow,commercial,ngawindows.com,http://knows.monster/domain/domain/part/168127,4,0.0,4,0,0,,46,172.67.214.69,,exact-match commercial anchor,yes
knows.sbs,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,nofollow,commercial,roiwindows.com,http://knows.sbs/domain/domain/part/201339,2,0.0,2,0,0,,36,104.21.51.183,,exact-match commercial anchor,yes
koalatyremodel.com,DISAVOW,P2 – Recommended (disavow),UPGRADED review→disavow,Borderline — manual check,dofollow,commercial,North Georgia Replacement Windows,https://koalatyremodel.com/locations/ga/atlanta/windows/,12,0.0,12,0,0,,5,34.160.17.71,us,exact-match commercial anchor,yes
lifequalia.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,North Georgia Replacement Windows,https://lifequalia.com/natural-home/default.htm,0.0,0.0,0,0,0,,1,64.90.49.138,,exact-match commercial anchor,yes
losangelesworkerscompensationlawyers.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,North Georgia Replacement …,http://losangelesworkerscompensationlawyers.com/replacement-windows-contractors/,0.0,0.0,0,0,0,,1,,,exact-match commercial anchor,yes
maktraka.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,Window Replacement In Atlanta | North Georgia Replacement Windows,http://maktraka.com/mainpage/detail/security-door-handle-replacement,0.0,0.0,0,0,0,,1,,,exact-match commercial anchor,yes
mandelaeffects.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,nofollow,commercial,Window Replacement Company Atlanta,http://mandelaeffects.com/grammer/badwolf/,0.0,0.0,0,0,0,,4,,,exact-match commercial anchor,yes
matureamateur.me,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,Window Replacement In Atlanta North Georgia Replacement Windows Iron Doors Improve Efficiency Of Your Atlanta Home,http://matureamateur.me/iron-entry-doors-atlanta,0.0,0.0,0,0,0,,2,,,exact-match commercial anchor,yes
maverickmansions.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,https://www.ngwindows.com/blog/comparing-double-vs.triple-pane-windows-for-noise-reduction,https://maverickmansions.com/sc-049-the-inbound-estate-infrastructure-driven-real-estate-arbitrage-and-the-science-of-airport-adjacent-land-acquisition/,2,0.0,2,0,0,,1,195.200.9.21,gb,exact-match commercial anchor,yes
middagsaasen.no,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,nofollow,commercial,Window Replacement Company Atlanta,http://www.middagsaasen.no/12-2/,0.0,0.0,0,0,0,,1,,,exact-match commercial anchor,yes
missfrugalmommy.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,www.ngwindows.com,https://missfrugalmommy.com/how-to-secure-your-family-home/,6,0.0,6,0,0,,1,160.153.44.71,us,exact-match commercial anchor,yes
mizarstvo-matko.si,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,nofollow,commercial,Window Replacement Atlanta,http://www.mizarstvo-matko.si/test-post-2/,0.0,0.0,0,0,0,,1,,,exact-match commercial anchor,yes
monetaryhistoryofworld.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,nofollow,commercial,Window Replacement Company,http://www.monetaryhistoryofworld.com/by-country/,5,0.0,5,0,0,,12,107.180.21.70,us,exact-match commercial anchor,yes
mplcom.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,Window Replacement in Atlanta | North Georgia Replacement Windows Window Replacement In Atlanta North Georgia Replacement Windows,http://mplcom.com/pegi/exterior-window-shutters.html,0.0,0.0,0,0,0,,1,,,exact-match commercial anchor,yes
mt-foto.dk,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,nofollow,commercial,Window Replacement Atlanta,http://www.mt-foto.dk/julekort/b25w9870/,0.0,0.0,0,0,0,,1,,,exact-match commercial anchor,yes
mtnviewband.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,www.ngwindows.com,http://www.mtnviewband.com/index.php?page=sponsors,0.0,0.0,0,0,0,,9,,,exact-match commercial anchor,yes
naturallyhealthyparenting.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,NG Windows,https://naturallyhealthyparenting.com/things-to-remember-when-viewing-a-property-for-the-first-time/,2,0.0,2,0,0,,1,164.132.95.179,fr,exact-match commercial anchor,yes
needinstall.com,DISAVOW,P2 – Recommended (disavow),UPGRADED review→disavow,Borderline — manual check,dofollow,commercial,ngwindows.com,https://needinstall.com/us/georgia/atlanta/windows-doors/203890-ng-windows,7,0.0,7,0,0,,1,5.78.158.140,us,exact-match commercial anchor,yes
nextfounder.it,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,Finestre sostitutive della Georgia del Nord,https://nextfounder.it/3-migliori-aziende-che-sostituiscono-i-bovindi-in-georgia-per-un-rinnovamento-domestico/,0.0,0.0,0,0,0,,1,89.116.109.103,,exact-match commercial anchor,yes
nhadatthanhvinh.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,NGRW Louvered Center Rail Shutter Exterior window shutters Window Replacement in Atlanta North Georgia Replacement Windows. Exterior Shutters Atlanta Georgia. Home Design Ideas,http://nhadatthanhvinh.com/exterior-shutters-atlanta-georgia.html,0.0,0.0,0,0,0,,1,,,exact-match commercial anchor,yes
nutshellcanada.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,dofollow,commercial,"Entry Door Replacement Glass picture on custom double doors for the atlanta market with Entry Door Replacement Glass, Glass Door ab96c631d50e81c5f961bcbf25e49475",http://nutshellcanada.com/Glass-Door/entry-door-replacement-glass/ab96c631d50e81c5f961bcbf25e49475,0.0,0.0,0,0,0,,1,,,exact-match commercial anchor,yes
openingtimes.co,DISAVOW,P2 – Recommended (disavow),UPGRADED review→disavow,Borderline — manual check,nofollow,commercial,North Georgia Replacement Windows home improvement,https://openingtimes.co/north-georgia-replacement-windows-roswell-ga,13,0.0,13,0,0,,2,194.26.222.202,gb,exact-match commercial anchor,yes
osobiste.info,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,nofollow,commercial,Window Replacement Atlanta,http://konto.osobiste.info/ing-bank-slaski-na-podium-w-rankingu-przyjazny-bank-newsweeka/,0.0,0.0,0,0,0,,2,,,exact-match commercial anchor,yes
promocodesfree.com,DISAVOW,P2 – Recommended (disavow),confirmed,Low-quality / dead domain,nofollow,commercial,https://ngwindows.com/,https://promocodesfree.com/senior-discounts-window-replacement/,0.0,0.0,0,0,0,,2,,,exact-match commercial anchor,yes
