domain,final_verdict,confidence,note
jepturf.net,KEEP,Med,Real turf business; on-topic
positivebloom.com,KEEP,Med,On-topic gardening content site
regionaldirectory.us,KEEP,High,Recognized US regional business directory
springtouchlawn.com,KEEP,Med,Real lawn-care business; on-topic
americanaccent.com,KEEP,Med,Real accent-training company; off-topic legitimate
athomepros.com,KEEP,Med,Home-services directory including lawn care
meritan.org,KEEP,High,Real Memphis nonprofit; local relevant
thebuildermarket.com,KEEP,Med,Building-materials marketplace; off-topic legitimate
vestigeview.com,KEEP,High,Real fleet GPS/safety company; off-topic
deliciouslysavvy.com,KEEP,Med,Real food/lifestyle blog; off-topic legitimate
reasonstoskipthehousework.com,KEEP,Med,Real lifestyle/mom blog; off-topic legitimate
harbingermarketing.com,KEEP,Med,Real marketing agency; off-topic legitimate
find-us-here.com,KEEP,High,Recognized business listing directory
agreatertown.com,KEEP,High,Recognized national local directory
southavenchamber.com,KEEP,High,Southaven MS chamber; local relevant
tntcode.com,KEEP,Med,Real developer/tech blog; off-topic
coldlytics.com,KEEP,Med,Real B2B lead-research company; off-topic
grasspros.com,KEEP,Med,Real artificial-turf installation company; on-topic
mikolmarmi.com,KEEP,Med,Real Italian marble/stone company; off-topic
taradel.com,KEEP,High,Real direct-mail marketing company; off-topic
hatcherlandscape.com,KEEP,High,Real Memphis landscaping company; local relevant
mymilitarybenefits.com,KEEP,High,Real military-benefits information platform
landscapeleadership.com,KEEP,High,Landscape-industry marketing agency; relevant
olivebranchms.com,KEEP,High,Olive Branch MS city site; local relevant
anationofmoms.com,KEEP,Med,Real lifestyle/mom blog; off-topic legitimate
desotocountynews.com,KEEP,High,Local DeSoto County MS news; relevant
bestprosintown.com,KEEP,Med,Recognized business listing directory
gluesticksgumdrops.com,KEEP,Med,Real craft/lifestyle blog; off-topic legitimate
parse.gl,KEEP,Med,Real AI brand-tracking tool; off-topic
warelandscaping.com,KEEP,Med,Real landscaping business; on-topic
natureworldnews.com,KEEP,Med,Real science/nature news site
propartsdirect.net,KEEP,High,Real outdoor-equipment parts retailer; on-topic
totallandscapecare.com,KEEP,High,Landscape-industry trade publication; relevant
neustarlocaleze.biz,KEEP,High,Neustar Localeze data aggregator; legitimate
servicio-online.net,MONITOR,Med,Spanish hosting infrastructure domain; irrelevant low-value link
citysquares.com,KEEP,High,Recognized national business directory
dexknows.com,KEEP,High,Recognized national business directory
enigma.com,KEEP,High,Real business-data platform; legitimate
strollmag.com,KEEP,High,Stroll neighborhood magazine; local-community relevant
landscapeprofessionals.org,KEEP,High,NALP landscape industry association; relevant
hsvchamber.org,KEEP,High,Huntsville AL chamber; local relevant
growthzoneapp.com,KEEP,High,Chamber/association management platform; legitimate
owler.com,KEEP,High,Recognized company-intelligence platform
ireceptar.cz,KEEP,Med,Real Czech home/garden magazine
housedigest.com,KEEP,High,Real home publication; legitimate
hub.biz,KEEP,Med,Recognized business listing directory
yourgreenpal.com,KEEP,High,Lawn-care marketplace; relevant
superpages.com,KEEP,High,Recognized national directory
devpost.com,KEEP,High,Real hackathon platform; legitimate
theorg.com,KEEP,High,Real company org-chart platform; legitimate
extension.org,KEEP,High,Cooperative Extension; educational, relevant
intercom.help,KEEP,Med,Intercom help-center subdomain; legitimate
birdeye.com,KEEP,High,Recognized reputation-management platform
pitchbook.com,KEEP,High,Recognized financial-data platform
thesun.ie,KEEP,High,Real news publication
yellowpages.com,KEEP,High,Recognized national directory
dhgate.com,KEEP,High,Real global marketplace; off-topic
rocketreach.co,KEEP,High,Real contact-data platform; legitimate
express.co.uk,KEEP,High,Real UK news publication
alibaba.com,KEEP,High,Real global marketplace; off-topic
bing.com,KEEP,High,Search engine; legitimate
yahoo.com,KEEP,High,Major web portal; legitimate
